Date,Price,Open,High,Low,Vol.,Change %
11/23/21,90.925,86.95,91.4,86.95,0.04K,8.22%
11/22/21,84.015,84.25,86.02,81.95,0.06K,-3.57%
11/19/21,87.125,91.125,91.125,86,0.01K,-8.45%
11/18/21,95.165,93.6,95.3,91.365,0.04K,0.17%
11/17/21,95.005,97.99,99.85,95.085,0.05K,0.87%
11/16/21,94.19,84.38,91.49,84.38,0.06K,17.82%
11/15/21,79.945,78.295,82.095,78.285,0.05K,5.64%
11/12/21,75.675,77.77,77.77,74.06,0.03K,1.18%
11/11/21,74.79,72,75.1,72,0.01K,6.65%
11/10/21,70.125,66.71,70.37,64.505,0.06K,-3.39%
11/9/21,72.585,76.5,76.9,74.005,0.03K,-8.21%
11/8/21,79.075,80.77,80.77,77.005,0.05K,6.82%
11/5/21,74.025,73.16,74.64,73.03,0.08K,0.89%
11/4/21,73.375,77.525,77.525,72.815,0.06K,-4.14%
11/3/21,76.54,73.52,80.045,73.52,0.07K,13.22%
11/2/21,67.605,65.175,70.665,62.84,0.06K,3.02%
11/1/21,65.62,63.59,65.75,63.59,0.01K,1.16%
10/29/21,64.865,72.62,72.62,70,0.02K,-15.79%
10/28/21,77.032,78,80.6,78,0.03K,-11.27%
10/27/21,86.82,86.3,86.95,86,0.05K,-1.89%
10/26/21,88.495,90.15,90.2,87.8,0.06K,-0.17%
10/25/21,88.645,91,91,88,0.06K,1.49%
10/22/21,87.34,88.61,88.7,87,0.09K,-1.27%
10/21/21,88.465,90.645,90.66,87.815,0.04K,-5.33%
10/20/21,93.45,94.395,94.395,92.75,0.02K,3.91%
10/19/21,89.93,92.15,93.935,89.425,0.06K,-4.26%
10/18/21,93.935,89.35,100.4,89.35,0.04K,0.30%
10/15/21,93.65,104,104,92.57,0.15K,-8.34%
10/14/21,102.17,102.15,102.255,96.73,0.08K,9.14%
10/13/21,93.615,91.375,94.61,90.29,0.24K,9.24%
10/12/21,85.7,86.31,87.395,85,0.60K,0.57%
10/11/21,85.215,92,92.135,83.5,0.23K,-2.73%
10/8/21,87.605,95,95.675,83.7,0.15K,-9.30%
10/7/21,96.585,89.26,109.47,89.26,0.08K,-10.73%
10/6/21,108.19,131.025,132.93,101.555,0.18K,-6.75%
10/5/21,116.02,95,105.61,83.62,0.17K,20.04%
10/4/21,96.65,96.4,99.76,94.235,0.17K,3.23%
10/1/21,93.625,94.665,97.59,93.105,0.20K,-4.24%
9/30/21,97.775,94.92,96.3,93.18,0.05K,12.89%
9/29/21,86.609,86.5,86.5,86.5,0.08K,10.24%
9/28/21,78.565,83,84.15,78.95,0.08K,2.69%
9/27/21,76.505,75,76.97,75,0.28K,8.92%
9/24/21,70.24,68.3,70.89,68.255,0.35K,0.80%
9/23/21,69.685,68,70.71,68,0.61K,-2.80%
9/22/21,71.69,70.1,72.655,69.925,0.71K,-2.83%
9/21/21,73.78,72.525,75.105,71.25,0.36K,-2.04%
9/20/21,75.315,65.725,75.38,69.805,0.35K,15.69%
9/17/21,65.103,66.75,66.775,62.85,0.38K,2.93%
9/16/21,63.25,68.535,68.535,60.76,0.34K,-10.54%
9/15/21,70.705,71.925,77.275,69.725,0.62K,7.51%
9/14/21,65.765,64.55,66.395,64.55,1.13K,7.32%
9/13/21,61.28,59.35,62.25,59.35,1.02K,5.81%
9/10/21,57.916,56,57.995,55.775,1.18K,2.36%
9/9/21,56.58,55.6,57.23,54.73,1.06K,2.33%
9/8/21,55.29,54.175,55.575,53.56,1.43K,2.56%
9/7/21,53.91,53.075,54.185,51.285,2.16K,4.67%
9/3/21,51.505,51.8,52.55,51.29,1.29K,-0.79%
9/2/21,51.915,50.985,52.595,49.715,1.32K,3.35%
9/1/21,50.23,52.25,52.9,49.6,2.05K,-0.22%
8/31/21,50.34,48.58,50.47,48.58,0.20K,1.33%
8/30/21,49.68,48.85,49.43,48.7,0.09K,3.92%
8/27/21,47.806,47.806,47.806,47.806,,4.40%
8/26/21,45.79,44.215,45.845,44.2,0.32K,1.12%
8/25/21,45.285,45.83,46.13,44.775,1.00K,0.92%
8/24/21,44.87,43.625,45.07,43.625,0.16K,7.65%
8/23/21,41.68,42.275,43.535,40.61,0.59K,-0.63%
8/20/21,41.944,41.57,42.625,40.9,0.52K,3.83%
8/19/21,40.395,44.375,44.48,40.1,0.80K,-10.99%
8/18/21,45.385,46.395,47.525,42.795,0.63K,-3.33%
8/17/21,46.95,46.855,47.975,46.675,0.52K,-2.17%
8/16/21,47.99,46.25,48.215,46.25,0.42K,7.53%
8/13/21,44.63,44.415,45.4,44.375,0.76K,-2.70%
8/12/21,45.87,46.15,46.525,45.325,0.77K,-0.25%
8/11/21,45.985,44.975,46.525,44.575,0.52K,2.98%
8/10/21,44.655,44.39,45.025,44.215,0.89K,4.37%
8/9/21,42.785,43.095,43.57,42.45,1.22K,-0.78%
8/6/21,43.12,43.9,44.57,42.675,1.14K,0.51%
8/5/21,42.9,41.57,43.2,41.195,1.26K,1.53%
8/4/21,42.255,41.54,42.26,41.54,0.78K,2.45%
